01:13:04 time=11342 pos=[408.6402269552698d, 72.0d, -270.3369272602585d] health=20.0f door_closed=1
01:14:04 time=12547 pos=[408.6402269552698d, 72.0d, -270.3369272602585d] health=20.0f door_closed=1
01:15:04 time=13755 pos=[408.6402269552698d, 72.0d, -270.3369272602585d] health=20.0f door_closed=1
01:16:05 time=14962 pos=[408.6402269552698d, 72.0d, -270.3369272602585d] health=20.0f door_closed=1
01:17:05 time=16169 pos=[408.6402269552698d, 72.0d, -270.3369272602585d] health=20.0f door_closed=1
01:18:05 time=17375 pos=[408.6402269552698d, 72.0d, -270.3369272602585d] health=20.0f door_closed=1
01:19:06 time=18581 pos=[409.61945035326835d, 72.0d, -270.21571925457926d] health=20.0f door_closed=1
01:20:06 time=19787 pos=[409.61945035326835d, 72.0d, -270.21571925457926d] health=20.0f door_closed=1
01:21:06 time=20993 pos=[409.61945035326835d, 72.0d, -270.21571925457926d] health=20.0f door_closed=1
01:22:07 time=22200 pos=[409.61945035326835d, 72.0d, -270.21571925457926d] health=20.0f door_closed=1
01:23:07 time=23407 pos=[408.7182482190827d, 72.0d, -269.8137197887349d] health=20.0f door_closed=1
01:24:07 time=613 pos=[408.53506786056556d, 72.0d, -269.5005537712869d] health=17.5f door_closed=1
01:25:08 time=1819 pos=[408.53506786056556d, 72.0d, -269.5005537712869d] health=17.5f door_closed=1
01:26:08 time=3026 pos=[408.53506786056556d, 72.0d, -269.5005537712869d] health=17.5f door_closed=1
01:27:08 time=4232 pos=[408.53506786056556d, 72.0d, -269.5005537712869d] health=17.5f door_closed=1
