2026-09-25 01:05:02.906 | DEBUG    | ailoveshen.infrastructure.events:subscribe:98 - Handler subscribed to HouseDesignedEvent
2026-09-25 01:05:02.906 | DEBUG    | ailoveshen.infrastructure.events:subscribe:98 - Handler subscribed to GoalSetEvent
2026-09-25 01:05:02.906 | DEBUG    | ailoveshen.infrastructure.events:subscribe:98 - Handler subscribed to HouseCompletedEvent
2026-09-25 01:05:05.404 | INFO     | ailoveshen.infrastructure.adapters.gemini.gemini_text_generator:_log_usage:205 - Gemini gemini-3.8-flash: 2460ms, prompt=295 thoughts=None output=174 total=469
2026-09-25 01:05:05.404 | INFO     | ailoveshen.application.use_cases.play:execute:220 - House designed: シェンのぽかぽかログハウス 5x5x3 door=south:2 windows=3 pillars=True - リスナーのみんなと一緒にのんびり景色を楽しめる、木の温もりが詰まったコンパクトな拠点！
2026-09-25 01:05:05.404 | DEBUG    | ailoveshen.infrastructure.events:publish:61 - Publishing HouseDesignedEvent to 1 handler(s)
[design] シェンのぽかぽかログハウス: リスナーのみんなと一緒にのんびり景色を楽しめる、木の温もりが詰まったコンパクトな拠点！
2026-09-25 01:05:08.057 | INFO     | ailoveshen.infrastructure.adapters.gemini.gemini_text_generator:_log_usage:205 - Gemini gemini-3.8-flash: 2489ms, prompt=555 thoughts=None output=32 total=587
2026-09-25 01:05:08.223 | INFO     | ailoveshen.application.use_cases.play:_decide_goal:381 - Goal: built() (no goal yet) - 日暮れまでに拠点となる家を完成させて安全を確保するため。; remaining 117
2026-09-25 01:05:08.223 | DEBUG    | ailoveshen.infrastructure.events:publish:61 - Publishing GoalSetEvent to 1 handler(s)
[goal] built(): 日暮れまでに拠点となる家を完成させて安全を確保するため。
2026-09-25 01:05:08.865 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 503ms, input=1315 -> dig oak_log at 405,72,-273 (confidence 0.21)
2026-09-25 01:05:18.076 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:05:18.076 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [1] built() (remaining 117) -> dig oak_log at 405,72,-273 (conf 0.21): ok dug oak_log, picked up 1 items (9.0s)
2026-09-25 01:05:18.791 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 539ms, input=1370 -> place log (start the house here) (confidence 0.28)
2026-09-25 01:05:18.983 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:05:18.983 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [2] built() (remaining 116) -> place log (start the house here) (conf 0.28): ok placed log (1/69) (0.0s)
2026-09-25 01:05:19.349 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 228ms, input=1368 -> dig oak_log at 405,72,-268 (confidence 0.54)
